Plot,Transect Position (cm),Intersection Diameter (>=7.6cm),Species (if known),Stem Count (2.5 - 7.5 cm)
R1,,,,12
R1,20.46,21.3,,
R1,22.79,9.6,,
R1,23.25,8,,
R1,23.75,8,,
R1,24.95,31,,
R1,25.45,13.8,,
R2,,,,26
R2,0.95,11,,
R2,3.75,7.8,,
R2,4.02,10.1,,
R2,4.6,9,,
R2,14.85,17,,
R2,32.91,17,Acer saccharinum,
R2,35.2,9,,
R2,40.2,21,,
R2,41.55,11,,
R3,9.35,14,,
R3,13.53,14.2,,
R3,14.27,23.1,,
R3,,,,13
R3,17.41,10.6,,
R3,18.8,19.2,Acer saccharinum,
R3,27.79,8.4,,
R3,28.4,12.2,,
R3,44.9,52.5,Salix nigra,
R3,45.9,45.9,Salix nigra,
R3,46.73,15.4,Salix nigra,
R3,46.68,44.9,Salix nigra,
E1,,,,10
E1,41.24,8,Salix nigra,
E1,45.03,9,,
E1,47.21,21,,
C1,,,,35
C1,6.31,10,,
C1,6.4,7.8,,
C1,7.59,7.9,,
C1,8.8,18,,
C1,12.2,39.5,,
C1,15.25,14,,
C1,16.57,24,,
C1,17.82,12.7,Populus deltoides ,
C1,18.3,15.5,,
C1,18.76,17,,
C1,19.93,11.7,Populus deltoides ,
C1,39.71,8.6,,
C1,46.85,8.8,,
A1,,,,5
A1,36.96,15.5,,
B1,,,,21
B1,4.9,19,,
B1,35.92,37,,
B1,39.3,12.6,,
B1,39.57,12.2,,
B1,39.85,12.2,,
B1,41.16,19,,
B1,45.85,10.4,,
A2,,,,15
A3,,,,32
A3,15.91,24.1,Acer saccharinum,
A3,32,16.3,,
A3,35.15,9.2,,
A3,40.5,8.7,,
E2,,,,1
E3,,,,2
C3,,,,28
C3,17.15,8,,
C3,28.64,12,,
C3,28.84,7.8,,
D3,,,,6
D3,20.15,18,Salix nigra,
D3,20.6,7.9,Salix nigra,
D3,37.64,7.6,,
D2,0.5,18,,
D2,1.9,7.9,,
D2,,,,7
D2,3.71,20,,
D2,20.65,9,,
D2,40.16,20,,
B3,,,,57
B3,8.36,38.1,,
B3,9.45,18.2,,
B3,9.95,12,,
B3,11.83,10.2,,
B3,13.86,15,,
B3,15.8,16,,
B3,20.56,19,,
B3,20.84,22,,
B3,27.65,10,,
B3,47.2,11,,
C2,,,,29
C2,6.86,8.2,,
C2,14.92,13,,
C2,20.01,7.6,,
C2,21.45,8,,
C2,21.7,11,,
C2,21.88,8.7,,
C2,22.25,10.5,,
C2,22.6,8,,
C2,45.73,8.1,,
C2,46.09,28,,
B2,,,,41
B2,1.69,46,,
B2,6.05,22,,
B2,16.3,8.7,,
B2,17.94,11.2,,
B2,34,10,,
B2,36.15,11,,
B2,38.71,33,,
B2,41.06,17,,
B2,41.61,14,,
B2,44.7,15,,
B2,47.55,10.5,,
D1,,,,4
D1,9.05,22,,
D1,37.7,7.8,,
D1,43.69,8.5,,
D1,46.01,9.6,,